Customer_ID,Age,Gender,Item_Purchased,Category,Purchase_Amount,Location,Size,Color,Season,Review_Rating,Subscription_Status,Shipping_Type,Discount_Applied,Previous_Purchases,Payment_Method,Frequency_of_Purchases
53,29,Male,Pants,Clothing,59,Montana,M,Salmon,Fall,4.9,Yes,Store Pickup,Yes,36,Venmo,Annually
54,61,Male,Sneakers,Footwear,42,Georgia,M,LightGray,Winter,2.9,No,Free Shipping,No,58,Debit Card,Quarterly
55,69,Female,Sweater,Clothing,63,Florida,S,LightBlue,Winter,3.4,Yes,Express,Yes,1,Debit Card,Fortnightly
56,27,Male,Sandals,Footwear,30,West Virginia,S,WhiteSmoke,Winter,4.9,Yes,2-Day Shipping,No,94,Credit Card,Every 3 Months
57,54,Male,Hat,Accessories,27,Kentucky,XL,Pink,Spring,3.3,No,Free Shipping,Yes,31,Venmo,Bi-Weekly
58,20,Male,Scarf,Accessories,55,Pennsylvania,S,PaleGoldenRod,Summer,2.8,No,Free Shipping,Yes,0,Cash,Fortnightly
59,36,Male,Shoes,Footwear,69,Mississippi,M,Indigo,Fall,4.2,Yes,Standard,Yes,21,Venmo,Weekly
60,22,Female,Jeans,Clothing,48,Florida,L,Teal,Winter,3.4,Yes,Express,No,77,Cash,Weekly
61,27,Male,Sunglasses,Accessories,36,New York,L,DarkGoldenRod,Summer,3.4,Yes,Next Day Air,Yes,63,Debit Card,Annually
62,27,Male,Boots,Footwear,29,Wisconsin,M,BurlyWood,Summer,2.9,No,Store Pickup,Yes,100,PayPal,Every 3 Months
63,64,Female,Sweater,Clothing,66,Delaware,L,DeepSkyBlue,Spring,2.7,Yes,Free Shipping,No,98,PayPal,Annually
64,62,Male,Shorts,Clothing,57,South Dakota,XL,DimGray,Summer,2.8,Yes,Standard,No,53,Bank Transfer,Quarterly
65,55,Male,Jacket,Outerwear,91,Utah,XL,Peru,Spring,4.3,Yes,Next Day Air,Yes,0,Cash,Every 3 Months
66,26,Female,Blouse,Clothing,65,Rhode Island,S,Coral,Winter,4.8,No,Free Shipping,No,37,PayPal,Weekly
67,33,Female,Hat,Accessories,50,Missouri,M,Olive,Spring,2.6,Yes,Express,No,89,Debit Card,Weekly
68,41,Female,Handbag,Accessories,16,Rhode Island,S,SeaGreen,Winter,4.2,Yes,Standard,No,76,Cash,Fortnightly
69,18,Male,Sandals,Footwear,38,North Dakota,XL,LightCoral,Spring,4.4,No,Store Pickup,Yes,17,Debit Card,Bi-Weekly
70,44,Female,Jewelry,Accessories,34,Oklahoma,L,Aqua,Fall,4.5,Yes,Next Day Air,No,14,Cash,Fortnightly
71,18,Female,Backpack,Accessories,17,Utah,XL,DarkOrange,Fall,4.2,No,2-Day Shipping,Yes,91,Credit Card,Bi-Weekly
72,28,Female,Skirt,Clothing,75,Utah,L,WhiteSmoke,Winter,3.8,Yes,Store Pickup,Yes,27,PayPal,Bi-Weekly
73,53,Female,Blouse,Clothing,55,Wisconsin,S,LightGreen,Fall,3.7,No,Standard,Yes,21,Venmo,Every 3 Months
74,24,Male,Coat,Outerwear,87,Wyoming,S,MediumSpringGreen,Summer,4,No,Express,Yes,30,Credit Card,Weekly
75,66,Male,Jacket,Outerwear,64,Delaware,L,LightYellow,Spring,3.9,Yes,Free Shipping,Yes,34,Venmo,Bi-Weekly
76,20,Male,Hoodie,Clothing,66,Nevada,S,DimGray,Summer,2.7,No,Express,No,45,Credit Card,Quarterly
77,64,Female,Skirt,Clothing,50,New Jersey,L,AliceBlue,Spring,4.3,Yes,Next Day Air,No,52,Debit Card,Bi-Weekly
78,68,Female,Jeans,Clothing,81,Washington,XL,LightGray,Fall,4,Yes,Next Day Air,Yes,20,Cash,Monthly
79,32,Male,Pants,Clothing,86,North Carolina,M,Fuchsia,Spring,4.4,Yes,2-Day Shipping,Yes,66,Debit Card,Bi-Weekly
80,46,Female,Hoodie,Clothing,89,North Carolina,M,DarkMagenta,Summer,3.2,No,Express,No,91,Debit Card,Quarterly
81,49,Male,Shoes,Footwear,29,South Dakota,S,Lime,Winter,2.9,No,2-Day Shipping,Yes,100,Venmo,Quarterly
82,28,Female,Sweater,Clothing,50,South Dakota,S,Tan,Summer,3.9,No,Express,Yes,9,Cash,Monthly
83,34,Female,Scarf,Accessories,31,Rhode Island,XL,Gray,Spring,4.8,No,Express,No,46,Credit Card,Quarterly
84,50,Male,Sunglasses,Accessories,54,Georgia,L,Navy,Summer,2.7,No,2-Day Shipping,Yes,57,Credit Card,Monthly
85,33,Female,Blouse,Clothing,71,Wisconsin,S,DodgerBlue,Spring,4.6,No,Standard,Yes,20,Bank Transfer,Quarterly
86,73,Male,Backpack,Accessories,29,Ohio,XL,Wheat,Winter,3.4,No,Store Pickup,No,68,PayPal,Fortnightly
87,43,Female,Sweater,Clothing,76,Alabama,XL,MediumBlue,Spring,3.5,Yes,Next Day Air,Yes,43,Bank Transfer,Quarterly
88,20,Female,Shoes,Footwear,80,New York,M,Azure,Fall,2.9,Yes,Next Day Air,Yes,72,Venmo,Bi-Weekly
89,68,Male,Socks,Clothing,33,Delaware,XL,MistyRose,Fall,3,Yes,Express,No,97,Debit Card,Quarterly
90,22,Male,Shirt,Clothing,70,Maryland,L,LawnGreen,Fall,2.7,No,Standard,Yes,67,Cash,Monthly
91,75,Male,Belt,Accessories,26,Arkansas,XL,LawnGreen,Summer,4.9,No,Free Shipping,Yes,25,Credit Card,Quarterly
92,45,Female,Skirt,Clothing,64,Oregon,L,Cyan,Fall,4.6,Yes,Express,Yes,92,Debit Card,Bi-Weekly
93,18,Female,Jacket,Outerwear,80,Colorado,M,SlateBlue,Fall,4.8,No,Next Day Air,No,14,Debit Card,Quarterly
94,71,Female,Shirt,Clothing,76,California,M,White,Fall,4.1,Yes,Express,Yes,27,Debit Card,Weekly
95,31,Female,Dress,Clothing,64,Wyoming,L,DarkSalmon,Spring,4.9,Yes,Next Day Air,Yes,46,Venmo,Annually
96,59,Male,Belt,Accessories,47,Florida,XL,Sienna,Fall,3.5,No,2-Day Shipping,Yes,54,Bank Transfer,Every 3 Months
97,45,Female,Handbag,Accessories,26,Oklahoma,L,FireBrick,Spring,3.9,Yes,2-Day Shipping,No,55,PayPal,Annually
98,58,Male,Backpack,Accessories,59,Kentucky,L,Wheat,Winter,5,Yes,Express,No,83,Venmo,Bi-Weekly
99,65,Male,Boots,Footwear,33,Rhode Island,S,Peru,Fall,3.8,Yes,Store Pickup,No,37,PayPal,Weekly
100,25,Male,Shoes,Footwear,78,Indiana,M,Yellow,Fall,4.9,No,Standard,No,52,Debit Card,Monthly
101,68,Female,Scarf,Accessories,40,Wisconsin,M,Green,Summer,3.2,No,Next Day Air,Yes,53,Debit Card,Weekly
102,20,Male,Sweater,Clothing,88,Virginia,S,Magenta,Winter,2.9,No,2-Day Shipping,No,94,Bank Transfer,Annually
103,33,Male,Shorts,Clothing,66,Montana,XL,Navy,Spring,4,No,Express,No,73,PayPal,Weekly
104,38,Female,Boots,Footwear,69,New Hampshire,M,Tomato,Fall,3.1,Yes,2-Day Shipping,Yes,15,Debit Card,Bi-Weekly
105,71,Female,Scarf,Accessories,68,New Hampshire,M,DarkOrchid,Summer,3,Yes,Express,No,55,Venmo,Monthly
106,52,Male,Socks,Clothing,39,Kansas,S,Ivory,Fall,2.6,Yes,Standard,Yes,81,Debit Card,Every 3 Months
107,52,Male,Coat,Outerwear,75,California,M,MediumSlateBlue,Fall,4.4,Yes,Next Day Air,Yes,10,Cash,Monthly
108,56,Male,Sweater,Clothing,67,Alaska,S,Khaki,Winter,2.9,No,Free Shipping,Yes,11,Venmo,Quarterly
109,49,Female,Socks,Clothing,88,Pennsylvania,S,Indigo,Fall,2.7,Yes,Free Shipping,Yes,87,PayPal,Quarterly
110,69,Male,Belt,Accessories,55,Alabama,M,Cornsilk,Spring,3.2,Yes,Store Pickup,No,72,Debit Card,Bi-Weekly
111,40,Male,Belt,Accessories,22,Virginia,XL,Chocolate,Winter,2.9,No,Express,No,24,Bank Transfer,Fortnightly
112,41,Female,Sunglasses,Accessories,48,Iowa,S,CornflowerBlue,Spring,2.6,Yes,Free Shipping,Yes,10,Debit Card,Monthly
113,48,Female,Boots,Footwear,54,Arizona,M,MediumPurple,Winter,3.4,No,Standard,No,95,PayPal,Quarterly
114,30,Female,Skirt,Clothing,55,California,L,Thistle,Fall,2.8,No,Free Shipping,Yes,26,Debit Card,Quarterly
115,56,Female,Dress,Clothing,58,Kansas,L,LightSeaGreen,Summer,4.1,No,Standard,No,25,Bank Transfer,Annually
116,74,Female,Handbag,Accessories,55,Texas,S,SlateBlue,Summer,4,No,2-Day Shipping,Yes,82,Bank Transfer,Annually
117,45,Female,Dress,Clothing,37,Indiana,M,Yellow,Summer,3.1,Yes,Store Pickup,Yes,47,Credit Card,Weekly
118,18,Female,Scarf,Accessories,22,Florida,L,Sienna,Spring,3.7,No,Free Shipping,Yes,71,Venmo,Quarterly
119,35,Female,Shorts,Clothing,43,Kansas,S,Sienna,Fall,4.2,No,Next Day Air,Yes,40,Cash,Weekly
120,20,Male,Sweater,Clothing,61,Nebraska,L,Gold,Fall,2.8,No,Free Shipping,No,76,Credit Card,Bi-Weekly
121,59,Male,Coat,Outerwear,96,Connecticut,S,DarkGray,Fall,3.2,No,Express,Yes,68,Bank Transfer,Fortnightly
122,71,Male,Shorts,Clothing,31,Texas,XL,Plum,Summer,3.2,No,Standard,Yes,10,Bank Transfer,Every 3 Months
123,62,Female,Coat,Outerwear,99,Minnesota,XL,Peru,Fall,4.6,Yes,Next Day Air,Yes,79,Venmo,Fortnightly
124,38,Female,Shoes,Footwear,21,Nebraska,XL,SeaGreen,Spring,2.9,Yes,Store Pickup,Yes,47,Bank Transfer,Fortnightly
125,74,Male,Boots,Footwear,26,Washington,S,CadetBlue,Winter,2.6,No,Express,No,33,Credit Card,Monthly
126,62,Female,Jacket,Outerwear,84,Utah,M,DarkGreen,Spring,4,Yes,Free Shipping,No,40,Cash,Every 3 Months
127,58,Male,Hoodie,Clothing,84,Arkansas,XL,PaleGreen,Winter,3.8,Yes,2-Day Shipping,No,61,Debit Card,Quarterly
128,32,Male,Gloves,Accessories,35,Washington,S,MediumSlateBlue,Summer,4.4,Yes,Next Day Air,No,71,Cash,Monthly
129,22,Male,T-shirt,Clothing,84,Connecticut,XL,LightBlue,Winter,3,Yes,Standard,Yes,49,Cash,Quarterly
130,66,Male,Sandals,Footwear,46,Illinois,L,Gold,Fall,4.1,Yes,Free Shipping,No,28,Credit Card,Quarterly
131,30,Male,Gloves,Accessories,70,Ohio,S,RosyBrown,Summer,3.6,No,2-Day Shipping,Yes,82,Venmo,Weekly
132,75,Male,Pants,Clothing,36,Florida,XL,Peru,Spring,3.2,No,Store Pickup,Yes,67,PayPal,Annually
133,31,Male,Shirt,Clothing,89,Idaho,M,LightSeaGreen,Fall,3.8,No,Express,Yes,56,Credit Card,Annually
134,64,Male,Jeans,Clothing,71,New Jersey,XL,LightBlue,Spring,3.2,No,Free Shipping,No,76,Credit Card,Bi-Weekly
135,24,Male,Hoodie,Clothing,63,California,S,Red,Spring,4.9,Yes,Express,No,6,Venmo,Bi-Weekly
136,74,Male,Shirt,Clothing,34,Oklahoma,XL,DarkGreen,Fall,3.5,Yes,Store Pickup,Yes,88,Credit Card,Quarterly
137,58,Male,Shoes,Footwear,46,Arkansas,L,Yellow,Summer,4.3,Yes,Free Shipping,No,64,Debit Card,Bi-Weekly
138,61,Male,Pants,Clothing,49,Alabama,S,DarkGoldenRod,Spring,3,No,Free Shipping,Yes,1,Debit Card,Quarterly
139,74,Female,Dress,Clothing,31,Wisconsin,S,LavenderBlush,Spring,4.2,Yes,2-Day Shipping,Yes,45,PayPal,Bi-Weekly
140,20,Male,Blouse,Clothing,85,Hawaii,S,PaleTurquoise,Summer,4.6,Yes,Free Shipping,Yes,99,Venmo,Fortnightly
141,46,Male,Shorts,Clothing,77,New York,XL,SkyBlue,Summer,5,No,Store Pickup,No,62,Credit Card,Annually
142,37,Male,Pants,Clothing,82,Indiana,L,PaleGoldenRod,Fall,2.8,Yes,Free Shipping,No,52,Cash,Monthly
143,19,Male,Gloves,Accessories,37,Arkansas,M,FireBrick,Fall,3.4,Yes,Free Shipping,No,48,Debit Card,Fortnightly
144,74,Female,Boots,Footwear,89,Missouri,M,AliceBlue,Summer,4.8,No,Next Day Air,No,50,Bank Transfer,Quarterly
145,30,Male,Boots,Footwear,55,Missouri,S,LightGray,Summer,4.6,Yes,Standard,No,58,Bank Transfer,Every 3 Months
146,49,Male,Socks,Clothing,48,New Jersey,M,LightSlateGray,Fall,4.2,No,2-Day Shipping,Yes,71,Debit Card,Weekly
147,18,Male,Shorts,Clothing,48,Nevada,XL,SlateBlue,Winter,3,Yes,Express,Yes,62,Credit Card,Fortnightly
148,26,Male,Sunglasses,Accessories,57,Georgia,L,Gold,Summer,4.5,Yes,Express,Yes,91,Credit Card,Weekly
149,55,Male,Gloves,Accessories,27,Maine,S,IndianRed,Summer,3,No,Next Day Air,No,31,Debit Card,Monthly
150,37,Female,Handbag,Accessories,40,Arkansas,L,Yellow,Spring,3.9,No,2-Day Shipping,Yes,17,Debit Card,Every 3 Months
151,53,Male,Shoes,Footwear,37,Arkansas,M,Maroon,Summer,3.3,No,2-Day Shipping,No,80,PayPal,Bi-Weekly
152,46,Female,Sneakers,Footwear,75,Arkansas,L,BurlyWood,Summer,3.7,No,Standard,Yes,53,PayPal,Quarterly
153,44,Male,Sweater,Clothing,65,Pennsylvania,S,Silver,Spring,4,No,Free Shipping,Yes,74,Bank Transfer,Annually
154,21,Male,Sandals,Footwear,89,North Carolina,XL,Wheat,Spring,3.5,Yes,Standard,No,97,Bank Transfer,Quarterly
155,59,Female,Socks,Clothing,35,Hawaii,S,Chartreuse,Summer,4,No,2-Day Shipping,Yes,61,Debit Card,Annually
156,51,Male,Belt,Accessories,22,North Carolina,M,Cyan,Fall,2.8,Yes,Next Day Air,Yes,80,Credit Card,Monthly
157,57,Female,Gloves,Accessories,15,Idaho,M,CornflowerBlue,Winter,2.7,Yes,2-Day Shipping,No,15,Bank Transfer,Fortnightly
158,19,Male,Shirt,Clothing,36,Rhode Island,XL,CornflowerBlue,Fall,2.6,Yes,Next Day Air,No,51,PayPal,Weekly
159,70,Male,Backpack,Accessories,68,Utah,XL,LavenderBlush,Winter,3.6,Yes,Free Shipping,No,18,Debit Card,Monthly
160,36,Male,Shoes,Footwear,85,Montana,L,DarkOrchid,Winter,4.9,No,Next Day Air,Yes,85,Credit Card,Quarterly
161,70,Female,Handbag,Accessories,66,Oregon,XL,LightBlue,Spring,2.6,No,Express,Yes,72,PayPal,Fortnightly
162,20,Male,Hoodie,Clothing,32,Pennsylvania,L,BlueViolet,Spring,3.7,No,Next Day Air,No,1,Cash,Annually
163,63,Female,Skirt,Clothing,85,South Carolina,XL,Cyan,Winter,2.9,Yes,Next Day Air,Yes,83,Debit Card,Bi-Weekly
164,66,Male,Shorts,Clothing,75,Nebraska,L,Turquoise,Fall,2.7,No,Standard,Yes,60,Bank Transfer,Monthly
165,26,Male,Sneakers,Footwear,84,Massachusetts,L,LightGoldenRodYellow,Summer,4,No,Express,No,5,Venmo,Every 3 Months
166,49,Female,T-shirt,Clothing,44,Indiana,XL,Maroon,Summer,4.4,Yes,Express,Yes,22,Debit Card,Quarterly
167,34,Male,Socks,Clothing,56,Kansas,S,LightGray,Winter,4.6,Yes,Standard,Yes,97,Credit Card,Bi-Weekly
168,62,Male,T-shirt,Clothing,31,Montana,XL,DarkSeaGreen,Fall,2.8,Yes,Free Shipping,Yes,32,PayPal,Quarterly
169,45,Male,T-shirt,Clothing,44,Texas,M,Lime,Winter,4,Yes,Free Shipping,Yes,4,Cash,Fortnightly
170,61,Female,Handbag,Accessories,41,New Jersey,XL,Maroon,Spring,4.6,No,2-Day Shipping,Yes,45,Credit Card,Bi-Weekly
171,46,Male,Belt,Accessories,69,Wisconsin,XL,Cornsilk,Fall,4.7,Yes,Free Shipping,Yes,100,Bank Transfer,Annually
172,52,Male,Sandals,Footwear,83,Alabama,L,Salmon,Winter,3.1,No,Next Day Air,Yes,49,Debit Card,Annually
173,22,Female,Sweater,Clothing,85,South Carolina,M,DarkGreen,Summer,3.5,Yes,2-Day Shipping,Yes,89,Venmo,Bi-Weekly
174,59,Male,Pants,Clothing,88,California,S,WhiteSmoke,Winter,3.3,No,Free Shipping,No,42,Venmo,Weekly
175,22,Male,Shoes,Footwear,62,Indiana,S,Tan,Summer,5,No,2-Day Shipping,Yes,94,Bank Transfer,Fortnightly
176,20,Male,Belt,Accessories,45,Kentucky,S,DarkSeaGreen,Winter,3.7,Yes,Store Pickup,Yes,44,PayPal,Quarterly
177,21,Male,Shorts,Clothing,84,Minnesota,S,CornflowerBlue,Spring,3.8,No,Store Pickup,Yes,87,Debit Card,Fortnightly
178,67,Female,Sunglasses,Accessories,18,Kansas,XL,NavajoWhite,Spring,3.6,No,2-Day Shipping,No,17,Venmo,Quarterly
179,30,Male,Sandals,Footwear,67,Maine,L,DimGray,Fall,4.8,Yes,Free Shipping,No,11,Bank Transfer,Fortnightly
180,18,Male,Shoes,Footwear,88,New Hampshire,M,YellowGreen,Winter,2.7,Yes,Standard,Yes,23,Credit Card,Fortnightly
181,26,Female,Coat,Outerwear,98,Virginia,XL,LimeGreen,Fall,4.1,Yes,Express,Yes,32,Bank Transfer,Weekly
182,75,Male,Pants,Clothing,77,South Carolina,M,Wheat,Fall,4.3,No,2-Day Shipping,No,37,Debit Card,Weekly
183,62,Female,Skirt,Clothing,47,Alabama,S,Lime,Winter,3.4,No,Store Pickup,No,79,PayPal,Annually
184,51,Male,Jeans,Clothing,88,Texas,M,DarkKhaki,Summer,4.4,Yes,Express,Yes,47,Debit Card,Every 3 Months
185,59,Female,Scarf,Accessories,17,Florida,XL,LightGray,Winter,2.6,Yes,Next Day Air,Yes,35,Bank Transfer,Quarterly
186,57,Male,Shirt,Clothing,35,Delaware,XL,DarkMagenta,Fall,2.5,No,Standard,Yes,56,Venmo,Weekly
187,52,Male,Shoes,Footwear,43,West Virginia,S,DeepSkyBlue,Summer,2.6,No,Express,No,77,Credit Card,Every 3 Months
188,39,Male,Boots,Footwear,95,Louisiana,XL,LightSkyBlue,Fall,4.5,Yes,Express,Yes,70,PayPal,Monthly
189,45,Male,Boots,Footwear,56,Rhode Island,L,HoneyDew,Spring,4.9,No,Store Pickup,No,30,Cash,Fortnightly
190,23,Male,Shirt,Clothing,73,Virginia,M,MediumSpringGreen,Summer,3.3,No,Express,No,78,Credit Card,Annually
191,54,Male,Shirt,Clothing,46,Indiana,L,LightGray,Summer,4.6,No,Standard,Yes,2,PayPal,Fortnightly
192,58,Male,Pants,Clothing,52,North Carolina,M,SlateGray,Fall,2.6,Yes,Next Day Air,No,78,Bank Transfer,Annually
193,68,Male,Gloves,Accessories,43,Kentucky,L,CadetBlue,Summer,4.7,Yes,Free Shipping,Yes,80,Cash,Weekly
194,59,Male,Belt,Accessories,56,Colorado,S,Peru,Spring,4.2,No,2-Day Shipping,Yes,40,Venmo,Bi-Weekly
195,34,Female,Jewelry,Accessories,18,Louisiana,S,Brown,Summer,3.9,Yes,2-Day Shipping,No,30,Credit Card,Fortnightly
196,33,Male,Jeans,Clothing,58,Alabama,M,MediumSeaGreen,Summer,3.9,No,Express,Yes,82,PayPal,Annually
197,39,Female,Sandals,Footwear,61,Wyoming,XL,DarkSeaGreen,Summer,3.7,No,2-Day Shipping,No,3,Cash,Annually
198,19,Male,Sweater,Clothing,89,South Dakota,S,LightGray,Spring,4.5,No,Free Shipping,Yes,48,Bank Transfer,Fortnightly
199,66,Male,T-shirt,Clothing,39,Hawaii,S,Red,Winter,4.9,Yes,2-Day Shipping,No,64,Bank Transfer,Monthly
200,51,Female,Sunglasses,Accessories,41,Oklahoma,S,Pink,Fall,4.1,No,Next Day Air,Yes,34,Cash,Every 3 Months
201,69,Male,Hoodie,Clothing,88,Oklahoma,L,Aqua,Spring,3.6,Yes,Store Pickup,Yes,30,PayPal,Monthly
202,23,Female,Boots,Footwear,72,Delaware,L,Crimson,Winter,4.8,No,2-Day Shipping,No,29,PayPal,Every 3 Months
203,33,Male,Sunglasses,Accessories,51,Vermont,XL,DeepPink,Spring,4,No,Next Day Air,Yes,40,Venmo,Fortnightly
204,58,Male,Sunglasses,Accessories,47,Ohio,M,Blue,Spring,4.7,Yes,Free Shipping,Yes,15,PayPal,Annually
205,65,Male,Socks,Clothing,75,Mississippi,S,DarkViolet,Spring,4.7,No,Express,No,88,Cash,Fortnightly
206,75,Male,Sandals,Footwear,87,Nevada,XL,DarkSalmon,Summer,2.8,Yes,Store Pickup,No,37,Venmo,Annually
